"","ENSAYO","PARCELA","SUBPARC","MEDICION","ANHO","EDAD2","SUPERFICIE","N","NHA","CF","HD","DESCRIPCION","DQ","SDI","AB_NA","AB_NO","AB_ND","AB_Total","ZONA","SDI_perc","AB_Nothofagus","Noth_prop","NA_prop","NO_prop","ND_prop","Dominant","IS"
"526",3,9,1,2,1980,37,500,26,520,5,38.54,"30 M2/HA",26.7182377931111,2420.825616644,22.5417755195232,2.81061015957084,3.8023324204928,29.1547180995869,4,2.35304482683423,29.1547180995869,1,0.773177618885729,0.0964032699602973,0.130419111153974,"NA",NA
"527",3,9,1,3,1983,40,500,26,520,5,40.18,"30 M2/HA",27.7221377797046,2298.04021754999,24.0287698622836,3.11056942613559,4.2474332676534,31.3867725560726,4,2.23369730086519,31.3867725560726,1,0.765569948912591,0.099104468947183,0.135325582140226,"NA",NA
"528",3,9,1,4,1988,45,500,4,80,5,25.25,"30 M2/HA",25.4901941930618,398.004104901654,4.08249965333994,0,0,4.08249965333994,4,0.386860372617805,4.08249965333994,1,1,0,0,"NA",NA
"529",3,9,2,2,1980,37,500,37,740,5,37.52,"30 M2/HA",22.7718887868117,4316.59715101872,28.7357081794143,1.40265828797477,0,30.1383664673891,4,4.19573658089956,30.1383664673891,1,0.953459379110925,0.0465406208890751,0,"NA",NA
"530",3,9,2,3,1983,40,500,37,740,5,39,"30 M2/HA",23.6458841627425,4093.16471745502,31.0719064323666,1.424303861358,0,32.4962102937246,4,3.97856004066082,32.4962102937246,1,0.956170154966253,0.0438298450337471,0,"NA",NA
"531",3,9,2,4,1988,45,500,4,80,5,24.175,"30 M2/HA",24.7057179616379,415.954215009657,3.83508352390647,0,0,3.83508352390647,4,0.404307896900572,3.83508352390647,1,1,0,0,"NA",NA
"532",3,9,3,2,1980,37,500,27,540,5,36.94,"30 M2/HA",26.5372763681022,2538.16018750016,18.3109769849706,1.07825743056509,10.478091145665,29.8673255612006,4,2.46709414251548,29.8673255612006,1,0.613077222044869,0.0361015728829034,0.350821205072228,"Mixed",NA
"533",3,9,3,3,1983,40,500,26,520,5,38.72,"30 M2/HA",27.6274180981363,2309.16654762348,20.0031173280104,1.18791472213864,9.98162525861817,31.1726573087672,4,2.24451210439382,31.1726573087672,1,0.641687910333669,0.0381075860929105,0.320204503573421,"Mixed",NA
"534",3,9,3,4,1988,45,500,4,80,5,25,"30 M2/HA",25.0699022734434,407.452629832145,3.94898196556237,0,0,3.94898196556237,4,0.396044347934345,3.94898196556237,1,1,0,0,"NA",NA
"535",3,9,4,2,1980,37,500,27,540,5,37.58,"30 M2/HA",27.3168175034816,2436.54785833082,26.6865258312941,0.353429173528852,4.60786819279976,31.6478231976227,4,2.36832686086967,31.6478231976227,1,0.843234166996317,0.0111675666070898,0.145598266396594,"NA",NA
